2026-09-04T18:29:08.854Z  === СУХИЙ ПРОГІН — нічого не змінюється ===
2026-09-04T18:29:10.048Z  Знайдено записів для перенесення: 1000
2026-09-04T18:29:10.049Z    dolenosne-rishennya → https://storriss.com/storage/posts/July2025/xFpgoyehGIr84yQZ87Gj-966x676.jpg
2026-09-04T18:29:10.050Z    ti-prijdesh → https://storriss.com/storage/posts/October2023/iVRwb6hlxXe0te465G3k-966x676.jpg
2026-09-04T18:29:10.053Z    horoshi-druzi → https://storriss.com/storage/posts/December2023/Y5iVmhSRTUdJQnIxOxd9-966x676.jpg
2026-09-04T18:29:10.054Z    vikno-navproti → https://storriss.com/storage/posts/February2026/krzJl1a5UWL1OwfSe9A7-966x676.jpg
2026-09-04T18:29:10.055Z    martinivski-povertayutsya → https://storriss.com/storage/posts/July2023/FJVy9afOW7XT4rYtBaYT-966x676.jpg
2026-09-04T18:29:10.056Z    virina-nelyubov3 → https://storriss.com/storage/posts/June2024/ByZQrsuM41xx0p4EmRTx-966x676.jpg
2026-09-04T18:29:10.056Z    na-krayu-chuzhogo-gnizda → https://storriss.com/storage/posts/December2023/QPuiCp2oiReDRLaq1OYg-966x676.jpg
2026-09-04T18:29:10.057Z    dotiki → https://storriss.com/storage/posts/October2023/e0mMPTzeynRC2wuV0sIE-966x676.jpg
2026-09-04T18:29:10.057Z    vazhki-dumki → https://storriss.com/storage/posts/March2023/a1eVvycdhr7Zb6qES1oG-966x676.jpg
2026-09-04T18:29:10.060Z    pivoniyi-i-trohi-kohannya → https://storriss.com/storage/posts/November2025/U2mlImwy9pYWwLGViWtw-966x676.jpg
2026-09-04T18:29:10.063Z    … і ще 990
2026-09-04T18:29:10.064Z  
2026-09-04T18:29:10.064Z  Щоб виконати перенесення, запустіть без --dry
2026-09-04T18:30:40.765Z    ✓ vovchik-vovchikovi-vovk  0.1 → 0.0 МБ
2026-09-04T18:30:40.776Z    ✓ den-sekondu  0.0 → 0.0 МБ
2026-09-04T18:30:40.814Z    ✓ malenki-rozmovi  0.1 → 0.0 МБ
2026-09-04T18:30:40.823Z    ✓ bosonizhka  0.1 → 0.1 МБ
2026-09-04T18:30:40.827Z    ✓ rizdvo-dlya-viri6589  0.1 → 0.0 МБ
2026-09-04T18:30:41.640Z    ✓ kaminchik  0.0 → 0.0 МБ
2026-09-04T18:30:41.649Z    ✓ take-vono-zhittya  0.1 → 0.0 МБ
2026-09-04T18:30:41.693Z    ✓ umij-kohati-i-probachati  0.1 → 0.0 МБ
2026-09-04T18:30:41.702Z    ✓ velikodni-dzvoni  0.0 → 0.0 МБ
2026-09-04T18:30:41.735Z    ✓ irina-agafonova-yasinska-ya-ne-vvazhayu-sebe-pismenniceyu-ya-lyudina-yaka-pishe  0.1 → 0.1 МБ
2026-09-04T18:30:42.636Z    ✓ koshik-z-lavandoyu  0.1 → 0.1 МБ
2026-09-04T18:30:42.647Z    ✓ girka-vdyachnist  0.1 → 0.0 МБ
2026-09-04T18:30:44.595Z    ✓ vtracheni-svitanki  0.1 → 0.0 МБ
2026-09-04T18:30:44.597Z    ✓ intersiti  0.1 → 0.0 МБ
2026-09-04T18:30:44.600Z    ✓ supernicya658  0.1 → 0.0 МБ
2026-09-04T18:30:45.437Z    ✓ ridna-krov  0.1 → 0.0 МБ
2026-09-04T18:30:45.702Z    ✓ duet-pid-verboyu  0.1 → 0.0 МБ
2026-09-04T18:30:45.741Z    ✓ smishna-istoriya  0.1 → 0.0 МБ
2026-09-04T18:30:45.767Z    ✓ list-u-holodilniku  0.1 → 0.0 МБ
2026-09-04T18:30:47.576Z    ✓ ia-pokokhala-vas-na-linii-vohniu  0.1 → 0.0 МБ
2026-09-04T18:30:48.599Z    ✓ shejma  0.1 → 0.0 МБ
2026-09-04T18:30:48.602Z    ✓ shalaput888  0.0 → 0.0 МБ
2026-09-04T18:30:48.605Z    ✓ probach-meni-sinku  0.1 → 0.0 МБ
2026-09-04T18:30:48.804Z    ✓ ya-lyubila-i-lyublyu  0.1 → 0.1 МБ
2026-09-04T18:30:49.103Z    ✓ oce-tobi-j-zyat  0.0 → 0.0 МБ
2026-09-04T18:30:49.914Z    ✓ hoch-kartini-pishi  0.1 → 0.0 МБ
2026-09-04T18:30:49.958Z    ✓ chesna-vidplata  0.1 → 0.0 МБ
2026-09-04T18:30:49.981Z    ✓ a-lipa-pid-viknom-svoyim-charuye-trunkom  0.0 → 0.0 МБ
2026-09-04T18:30:50.091Z    ✓ trivozhna-valizka  0.1 → 0.0 МБ
2026-09-04T18:30:50.196Z    ✓ velika-prigoda-malih-mishenyat  0.1 → 0.1 МБ
2026-09-04T18:30:51.058Z    ✓ proshennya  0.1 → 0.0 МБ
2026-09-04T18:30:51.076Z    ✓ tri-sni-z-toboyu  0.1 → 0.0 МБ
2026-09-04T18:30:51.096Z    ✓ sezon-moroziva  0.1 → 0.0 МБ
2026-09-04T18:30:51.355Z    ✓ yak-polyubiti-dosh  0.1 → 0.1 МБ
2026-09-04T18:30:51.442Z    ✓ lyudi-z-minulogo  0.9 → 0.0 МБ
2026-09-04T18:30:51.443Z  --- оброблено 100 з 1000 ---
2026-09-04T18:30:52.133Z    ✓ rizdvo  0.1 → 0.0 МБ
2026-09-04T18:30:52.261Z    ✓ dopoki-sonce-syaye  0.0 → 0.0 МБ
2026-09-04T18:30:52.275Z    ✓ ti-prosto-nagadav-meni-yakoyu-ya-ye-spravzhnoyu  0.1 → 0.0 МБ
2026-09-04T18:30:52.280Z    ✓ olka-barabolka  0.0 → 0.0 МБ
2026-09-04T18:30:52.294Z    ✓ rozbiti-sercya  0.1 → 0.0 МБ
2026-09-04T18:30:53.090Z    ✓ litnya-vtecha-udvoh  0.1 → 0.0 МБ
2026-09-04T18:30:53.107Z    ✓ zyat-piznayetsya-v-bidi  0.1 → 0.0 МБ
2026-09-04T18:30:53.114Z    ✓ dzvin-sovisti  0.0 → 0.0 МБ
2026-09-04T18:30:53.162Z    ✓ vtikayuchi-vid-samotnosti  0.1 → 0.0 МБ
2026-09-04T18:30:53.182Z    ✓ proshennya3235  0.1 → 0.0 МБ
2026-09-04T18:30:54.229Z    ✓ poyihali-dodomu  0.1 → 0.0 МБ
2026-09-04T18:30:54.232Z    ✓ spi-isuse-spi  0.1 → 0.0 МБ
2026-09-04T18:30:54.332Z    ✓ sirna-feya  0.0 → 0.0 МБ
2026-09-04T18:30:54.334Z    ✓ mislivci-na-muhomoriv  0.1 → 0.1 МБ
2026-09-04T18:30:54.784Z    ✓ ya-probachila-jomu-ale-ne-zabula  0.1 → 0.0 МБ
